id,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,Class
1,58,management,married,tertiary,no,2143,yes,no,unknown,5,may,261,1,-1,0,unknown,1
2,44,technician,single,secondary,no,29,yes,no,unknown,5,may,151,1,-1,0,unknown,1
3,33,entrepreneur,married,secondary,no,2,yes,yes,unknown,5,may,76,1,-1,0,unknown,1
4,47,blue-collar,married,unknown,no,1506,yes,no,unknown,5,may,92,1,-1,0,unknown,1
5,33,unknown,single,unknown,no,1,no,no,unknown,5,may,198,1,-1,0,unknown,1
6,35,management,married,tertiary,no,231,yes,no,unknown,5,may,139,1,-1,0,unknown,1
7,28,management,single,tertiary,no,447,yes,yes,unknown,5,may,217,1,-1,0,unknown,1
8,42,entrepreneur,divorced,tertiary,yes,2,yes,no,unknown,5,may,380,1,-1,0,unknown,1
9,58,retired,married,primary,no,121,yes,no,unknown,5,may,50,1,-1,0,unknown,1
10,43,technician,single,secondary,no,593,yes,no,unknown,5,may,55,1,-1,0,unknown,1
11,41,admin.,divorced,secondary,no,270,yes,no,unknown,5,may,222,1,-1,0,unknown,1
12,29,admin.,single,secondary,no,390,yes,no,unknown,5,may,137,1,-1,0,unknown,1
13,53,technician,married,secondary,no,6,yes,no,unknown,5,may,517,1,-1,0,unknown,1
14,58,technician,married,unknown,no,71,yes,no,unknown,5,may,71,1,-1,0,unknown,1
15,57,services,married,secondary,no,162,yes,no,unknown,5,may,174,1,-1,0,unknown,1
16,51,retired,married,primary,no,229,yes,no,unknown,5,may,353,1,-1,0,unknown,1
17,45,admin.,single,unknown,no,13,yes,no,unknown,5,may,98,1,-1,0,unknown,1
18,57,blue-collar,married,primary,no,52,yes,no,unknown,5,may,38,1,-1,0,unknown,1
19,60,retired,married,primary,no,60,yes,no,unknown,5,may,219,1,-1,0,unknown,1
20,33,services,married,secondary,no,0,yes,no,unknown,5,may,54,1,-1,0,unknown,1
21,28,blue-collar,married,secondary,no,723,yes,yes,unknown,5,may,262,1,-1,0,unknown,1
22,56,management,married,tertiary,no,779,yes,no,unknown,5,may,164,1,-1,0,unknown,1
23,32,blue-collar,single,primary,no,23,yes,yes,unknown,5,may,160,1,-1,0,unknown,1
24,25,services,married,secondary,no,50,yes,no,unknown,5,may,342,1,-1,0,unknown,1
25,40,retired,married,primary,no,0,yes,yes,unknown,5,may,181,1,-1,0,unknown,1
26,44,admin.,married,secondary,no,-372,yes,no,unknown,5,may,172,1,-1,0,unknown,1
27,39,management,single,tertiary,no,255,yes,no,unknown,5,may,296,1,-1,0,unknown,1
28,52,entrepreneur,married,secondary,no,113,yes,yes,unknown,5,may,127,1,-1,0,unknown,1
29,46,management,single,secondary,no,-246,yes,no,unknown,5,may,255,2,-1,0,unknown,1
30,36,technician,single,secondary,no,265,yes,yes,unknown,5,may,348,1,-1,0,unknown,1
31,57,technician,married,secondary,no,839,no,yes,unknown,5,may,225,1,-1,0,unknown,1
