id,V1,V2,V3,V4,V5,Class
1,120.362774,205.5,119.395349,416.581395,20.676318,2
2,124.739583,202.8,115.333333,354.333333,16.707151,2
3,134.691964,199.285714,116.857143,477.857143,22.496712,2
4,127.946309,178.368421,92.368421,278.473684,14.977453,2
5,135.431548,197,112.690476,532.952381,17.604193,2
6,118.347962,226.15,138.85,608.9,29.072797,2
7,135.436282,184.5,95.142857,309.190476,13.055264,2
8,121.169643,226,146.214286,595.571429,22.808542,2
9,131.127161,232.784314,144.588235,563.843137,11.948563,2
10,134.498092,210.212121,116.909091,594.848485,27.937685,2
11,131.164773,206.681818,114.727273,483.045455,22.903544,2
12,136.09596,201.4,111.4,444.6,16.553622,2
13,122.631902,230.560976,142.195122,473.707317,24.521889,2
14,113.65618,213.107143,129.785714,480.857143,29.237766,2
15,133.894198,191.621622,115.513514,419.513514,17.489139,2
16,131.111498,213.666667,125.444444,537.888889,19.434819,2
17,127.835697,201.358491,116.509434,372.132076,23.929111,2
18,121.61126,199.744681,121.06383,338.12766,15.019107,2
19,106.242105,221.75,140,381.166667,18.903263,2
20,147.771127,220.111111,123.722222,479.166667,23.337037,2
21,135.823938,192.232877,115.09589,332.424658,12.805692,2
22,134.958974,226.673469,141.469388,435.959184,17.606107,2
23,128.531408,188.984,93.312,296.616,16.932495,2
24,143.528736,170.363636,78.454545,400,10.832306,2
25,141.109375,164.625,68,242.5,6.753471,2
26,140.02603,189.896552,89.241379,561.310345,23.83759,2
27,132.58773,222.392157,133.058823,579.215686,19.832652,2
28,121.757895,174,92.666667,217.777778,14.055446,2
29,135.677165,199.75,105.208333,453.333333,16.185073,2
30,119.457404,180.741936,93.145161,227.774194,12.293254,2
31,124.591944,179.416667,89.083333,208.083333,20.352602,2
32,126.527972,178.777778,85.111111,359.777778,11.080513,2
33,135.024485,190.877551,104.55102,270.653061,14.329932,2
34,142.56579,183.416667,89.763889,240.263889,11.29866,2
35,124.611009,180.826087,93.434783,242.608696,9.803702,2
36,130.84965,175.333333,83.402778,342.277778,21.171678,2
37,133.854167,166.407407,78.740741,254.37037,14.175076,2
38,119.714558,231.833333,153.515152,591.015152,25.385987,2
39,123.278545,218.26,129.68,600.22,29.894943,2
40,117.639292,215.564103,131.205128,504.076923,22.19423,2
41,138.512724,202.044776,118.537313,445.925373,20.084939,2
42,118.578324,198.567568,117.067568,429.135135,33.420971,2
43,134.064037,183.463636,95.590909,236.681818,18.00373,2
44,117.650655,236.486111,155.458333,541.541667,18.511821,2
45,135.284257,234.651163,149.837209,587,22.066888,2
46,123.302428,207.754386,120.666667,436.087719,18.284456,2
47,128.096093,199.2,118.4,403.333333,21.405892,2
48,119.635551,200.651786,118.821429,312.517857,21.871778,2
49,119.506522,224.241379,131.586207,592.241379,27.410822,2
50,132.279558,213.508772,126.210526,503.631579,26.666932,2
51,123.752283,222.018182,134.672727,510.036364,21.587217,2
52,123.997297,221.671429,156.242857,493.414286,24.439196,2
53,130.010502,184.87037,103.166667,319.777778,21.732253,2
54,122.797834,202.342857,132.485714,322.285714,15.835378,2
55,132.404776,201.305556,125.407407,373.805556,23.220295,2
56,127.80718,202.711957,120.722826,415.804348,27.258971,2
57,122.15942,195.15,128.825,323.975,28.948097,2
58,126.432185,206.422908,128.599119,403.061674,23.368589,2
59,128.368754,211.354497,140.650794,411.301587,24.842135,2
60,126.739726,203.391304,129.904348,390.817391,20.635785,2
61,128.581136,200.870968,119.322581,436.556452,24.033568,2
62,136.359435,210.30581,118.422018,462.568807,21.609575,2
63,128.97306,202.625,118.759259,427.49537,21.303533,2
64,131.599825,209.560185,117.236111,566.009259,36.442122,2
65,122.665428,218.267717,136.586614,498.633858,26.649676,2
66,132.455492,198.865672,113.80597,323.059702,18.657719,2
67,129.20801,188.688679,110.650943,327.716981,19.005395,2
68,124.590466,197.325203,120.642276,398.853659,18.675637,2
69,129.360137,207.261905,123.945578,464.72449,26.64041,2
70,141.57423,199.244444,127.333333,364.177778,15.219286,2
71,127.218812,190.314961,110.102362,383.393701,19.666454,2
72,118.122585,217.894118,134.235294,443.111765,18.376031,2
73,138.614314,213.603175,126.111111,421,18.304925,2
74,134.301502,210.6,125.671429,436.190476,21.034099,2
75,142.867713,228.678571,104.392857,674.964286,32.399531,1
76,143.497283,211.608696,95.73913,612.347826,29.530094,1
77,135.725,238.916667,107.583333,741.270833,20.841071,1
78,112.824561,236.92,108.04,705.84,22.670651,1
79,111.207547,233.1,105.575,729.775,23.673812,1
80,124.955163,226.695652,100.565217,686.434783,27.8711,1
81,115.849866,235.893617,107.106383,757.212766,19.601577,1
82,124.970238,218.095238,97.428571,595.857143,40.781037,1
83,130.711775,169.526738,69.40107,187.684492,8.875741,1
84,113.465116,244.259259,107.555556,735.518519,34.575418,1
85,130.118358,230.230769,104.192308,689.346154,16.023282,1
86,120.413907,216.31579,104.894737,617.31579,29.403865,1
87,127.223214,219.428571,100.571429,588.857143,17.274495,1
88,128.945313,196,93,437,27.335874,1
89,133.359375,166,84,247,14.101751,1
90,127.395833,200.333333,99.166667,486.166667,26.023494,1
91,137.922594,231.333333,99.366667,641.866667,40.490932,1
92,105.1,206.8,97,564.2,21.303521,1
93,132.386555,203.733333,95.8,531.866667,53.596849,1
94,107.576923,213.307692,90.769231,514.153846,45.348225,1
95,127.765766,187,82.357143,310.142857,15.443941,1
96,124.018476,170.927273,69.072727,217.836364,13.337253,1
97,132.299304,203.407407,90,495.407407,36.943771,1
98,153.541667,204,87,452,1.699673,1
99,125.73937,169.203046,69.416244,206.411168,7.412496,1
100,140.857143,175.75,79.916667,293,6.015605,1
101,132.592007,164.682927,68.682927,177.897561,8.123652,1
102,138.240418,198.25,87.055556,445.388889,27.26414,1
103,136.250617,191.686275,87.176471,441.764706,20.390781,1
104,130.011364,199.181818,95.272727,520.636364,12.186566,1
105,120.872081,226.387097,101.709677,746.806452,16.682722,1
106,144.339744,174.4,77.65,302.1,10.067274,1
107,106.34375,231.8,111.8,726.4,28.667229,1
108,141.350694,224.444444,107.111111,668.666667,30.063924,1
109,128.177165,206.5,94.4375,456.875,23.224427,1
110,127.479315,206.818182,93.590909,525.431818,18.794822,1
111,130.766562,217,97.4,648.4,24.676862,1
112,123.854494,213.272727,100.568182,645.272727,34.318355,1
113,122.673611,183.333333,80.666667,390.777778,20.083775,1
114,119.14881,200,93.52381,488.619048,29.794534,1
115,111.150735,193.058824,88.352941,493.823529,33.466194,1
116,109.638889,206.555556,97.666667,463.555556,20.259429,1
117,127.918558,218.87234,98.085106,679.574468,19.805391,1
118,135.184015,177,78.5,406.441177,16.311867,1
