id,dataset,algorithm,params_num,metrics,ic.h_max,ic.eps_s,ic.eps_max,ic.eps_ratio,ic.m0,ic.costs_runtime,ela_meta.lin_simple.adj_r2,ela_meta.lin_simple.intercept,ela_meta.lin_simple.coef.min,ela_meta.lin_simple.coef.max,ela_meta.lin_simple.coef.max_by_min,ela_meta.lin_w_interact.adj_r2,ela_meta.quad_simple.adj_r2,ela_meta.quad_simple.cond,ela_meta.quad_w_interact.adj_r2,ela_meta.costs_runtime,ela_distr.skewness,ela_distr.kurtosis,ela_distr.number_of_peaks,ela_distr.costs_runtime,nbc.nn_nb.sd_ratio,nbc.nn_nb.mean_ratio,nbc.nn_nb.cor,nbc.dist_ratio.coeff_var,nbc.nb_fitness.cor,nbc.costs_runtime,disp.ratio_mean_02,disp.ratio_mean_05,disp.ratio_mean_10,disp.ratio_mean_25,disp.ratio_median_02,disp.ratio_median_05,disp.ratio_median_10,disp.ratio_median_25,disp.diff_mean_02,disp.diff_mean_05,disp.diff_mean_10,disp.diff_mean_25,disp.diff_median_02,disp.diff_median_05,disp.diff_median_10,disp.diff_median_25,disp.costs_runtime
01,wilt,XGB,4,logloss,0.4064497772372891,-2.617617617617617,0.0001099109700929,-3.798798798798799,0.1422845691382765,0.578,0.4403488764830355,-0.1878390619798109,5.083353932366507e-07,0.0010264017149275,2019.1427325025215,0.44296044507921,0.7918385848300673,3140908.714033857,0.9428748280496148,0.031,2.6946031831325694,6.770698768816407,3,0.031,0.1470305369665118,0.1738023730776232,0.0237555624411268,1.009486741172814,-0.090619756885793,1.157,0.8204583305087053,0.8204583305087053,0.8204583305087053,0.8204583305087053,0.8043803837315966,0.8043803837315966,0.8043803837315966,0.8043803837315966,-102.56882068498982,-102.56882068498982,-102.56882068498982,-102.56882068498982,-109.73848481215924,-109.73848481215924,-109.73848481215924,-109.73848481215924,0.078
02,ada,XGB,4,logloss,0.4090187426144988,-2.3773773773773774,0.0002763385290053,-3.3783783783783776,0.1472945891783567,0.422,0.5789264315492288,-0.4355698478573538,9.395436007161028e-06,0.0022684755020029,241.44440984685937,0.580520824611386,0.9106285572758216,22484283.99567008,0.9697924813914084,0.032,1.8105997985932505,2.1320568637075885,2,0.015,0.157006782727357,0.1657756036272021,-0.0124252477053757,1.0339668761789516,-0.091481066444591,1.203,0.8253360375548944,0.8253360375548944,0.8253360375548944,0.8253360375548944,0.8045718885056107,0.8045718885056107,0.8045718885056107,0.8045718885056107,-98.83874063516164,-98.83874063516164,-98.83874063516164,-98.83874063516164,-108.5999338283322,-108.5999338283322,-108.5999338283322,-108.5999338283322,0.078
03,analcatdata-dmft,XGB,4,logloss,0.0972065863976793,-3.578578578578578,0.0,-4.119119119119119,0.0250501002004008,0.422,0.035502305909851,-1.7907524407168676,1.6508670561008804e-07,5.344022158596692e-05,323.7100249137282,0.0432337069679662,0.0877112493364576,2878457.893161119,0.1695677578318236,0.031,10.697908977165552,120.8729857338764,9,0.016,0.028267447282858,0.0264906016883524,0.0324224843869798,2.4839192971205653,-0.0030284116410977,0.672,0.9872374235685544,0.9872374235685544,0.9872374235685544,0.9872374235685544,0.987366335107066,0.987366335107066,0.987366335107066,0.987366335107066,-7.40524852429769,-7.40524852429769,-7.40524852429769,-7.40524852429769,-7.189348329059953,-7.189348329059953,-7.189348329059953,-7.189348329059953,0.125
04,bank-marketing,XGB,4,logloss,0.8231972349864255,-2.017017017017017,4.174655289253135e-05,-4.1391391391391394,0.5811623246492986,0.625,0.2187437518946799,-0.374112670468106,1.594058892556737e-05,0.0047859397010873,300.23606552020755,0.2468650155928459,0.5804975778042948,1498804.6161893958,0.841322949340298,0.016,-4.035869571351349,19.559755993830983,5,0.031,0.2041284520065567,0.5693292791882907,0.2288004075525477,0.3977146613607102,-0.1643928723192078,0.156,0.5948763195172804,0.6221259305945384,0.6497872512437828,1.0097184799897465,0.5236057146493235,0.5277353568173713,0.5522923257929407,0.9076508703546492,-225.7436398500949,-210.5595696872497,-195.14608608396924,5.415346355664838,-260.6912697125308,-258.43145742394654,-244.9934552912802,-50.5350559492378,0.047
05,cylinder-bands,XGB,4,logloss,0.1176028434809678,-2.9179179179179173,8.934418686302297e-05,-3.318318318318318,0.0310621242484969,0.406,0.0939641430055719,-0.6862120431697495,9.249223641162104e-07,0.000543618416658,587.7449154097567,0.1132226332767407,0.2284840421587617,635435.708871943,0.4294819013962111,0.031,-6.162280927681156,40.013999782114325,9,0.016,0.0302608110007935,0.0353004396045153,-0.0087450597833365,1.9354084585751528,-0.0868095451864471,1.344,0.6290069730289843,1.0,1.0,1.0,0.4898990767301378,1.0,1.0,1.0,-208.990202254578,0.0,0.0,0.0,-281.26457987559,0.0,0.0,0.0,0.109
06,wilt,lgbm,4,logloss,0.1176028434809678,-2.6776776776776776,0.0001589282865622,-3.278278278278278,0.0400801603206412,0.39,0.0900016452216224,-0.199016760353217,2.731275267333042e-06,0.0008259243511466,302.3951342528429,0.1057154234943748,0.2195654718885127,1662575.175222338,0.4324105873403401,0.016,6.055062599966366,38.08624963543073,6,0.016,0.256848371204847,0.1237023971475066,0.0177483271602499,1.1545188147578789,-0.0896386039507908,1.734,0.9763702127437456,0.9763702127437456,0.9763702127437456,0.9763702127437456,0.9753724804285198,0.9753724804285198,0.9753724804285198,0.9753724804285198,-13.46326088994408,-13.46326088994408,-13.46326088994408,-13.46326088994408,-13.763326942284266,-13.763326942284266,-13.763326942284266,-13.763326942284266,0.125
07,ada,lgbm,4,logloss,0.4172290708497108,-2.517517517517517,0.0005031548945038,-3.178178178178177,0.1653306613226453,0.5,0.5657074355995471,-0.4402547218591731,5.259303010117457e-06,0.004741183242337,901.4850890348586,0.5725360069481904,0.8949141376168158,2453614.5739364265,0.9799181556902876,0.015,1.7515271099795988,1.80801425764023,3,0.031,0.1440421262347668,0.1582028858697487,0.1347689190901574,1.0719552222196678,-0.0684715396801441,1.157,0.8302214314677776,0.8302214314677776,0.8302214314677776,0.8302214314677776,0.8146335696899093,0.8146335696899093,0.8146335696899093,0.8146335696899093,-96.67636688493737,-96.67636688493737,-96.67636688493737,-96.67636688493737,-103.65711768276508,-103.65711768276508,-103.65711768276508,-103.65711768276508,0.063
08,analcatdata-dmft,lgbm,4,logloss,0.0231713885041113,-inf,6.036438506075864e-05,-3.9189189189189184,0.003006012024048,0.515,0.0145795846088384,-1.7884048418308125,1.6672661734031234e-07,4.945338834134704e-05,296.6136369240057,0.0468079692803017,0.0343347703480786,26423.42152902705,0.2289165216437242,0.032,21.203918244744585,458.8881711283328,5,0.015,0.3803964081215586,0.1211066973694438,0.1132852126939244,0.6036027462395135,-0.0272394373746824,1.735,0.9963252464129124,0.9963252464129124,0.9963252464129124,0.9963252464129124,0.9966316025303288,0.9966316025303288,0.9966316025303288,0.9966316025303288,-2.1205674998124096,-2.1205674998124096,-2.1205674998124096,-2.1205674998124096,-1.906803808974928,-1.906803808974928,-1.906803808974928,-1.906803808974928,0.125
09,bank-marketing,lgbm,4,logloss,0.8074812050513502,-2.317317317317317,4.577840538376616e-05,-3.938938938938938,0.5751503006012024,0.437,0.0529323910038075,-0.338774251799004,1.3934087903959725e-05,0.0012834328642854,92.10741837797462,0.0910216967027377,0.5050343242745154,79028.51656426638,0.8421020172230658,0.015,-3.254239523131378,13.982052116327232,4,0.032,0.224549041627711,0.5464343799382277,0.1683105859288087,0.4146704624987916,-0.1932113414253636,0.156,0.531362745638442,0.5500974884370862,0.729896571735942,1.246608754735002,0.4093754723419018,0.4928336845431942,0.6745496948814754,1.520458236172196,-266.1633004159195,-255.5228723890785,-153.40568691739384,140.06184839305934,-328.1688672622614,-281.7969580724585,-180.83004172615347,289.1823516019234,0.047
10,cylinder-bands,lgbm,4,logloss,0.0938870251677016,-3.318318318318318,4.174655289253135e-05,-3.578578578578578,0.0250501002004008,0.375,0.0452957435746301,-0.6825363222507068,3.704047371757657e-07,0.0005052253129123,1363.98178048301,0.0699255573832592,0.1069764228271371,465874.6561057313,0.2569380338989165,0.015,-9.8110933764032,101.23669475042476,10,0.031,0.029818941601371,0.0344260623146149,-0.0460112125515671,1.917787102262376,-0.312733453482181,1.329,0.5940193113877493,1.0,1.0,1.0,0.5177635270066944,1.0,1.0,1.0,-231.2477591166915,0.0,0.0,0.0,-269.61280925453866,0.0,0.0,0.0,0.093
